age_gender_cat,qualifying_event,reported_time,entry_successful,precise
M18-34,HM,1:17:12,0,yes
M40-44,M,2:46:30,0,no
M18-34,M,2:39:30,0,no
M18-34,M,2:38:30,0,no
M18-34,M,2:36:20,0,yes
M35-39,M,2:45:30,0,no
M60-64,M,3:16:30,0,no
M35-39,HM,1:15:30,1,no
M18-34,M,2:43:30,0,no
F18-34,M,3:03:30,0,no
M18-34,M,2:42:55,0,yes
M35-39,HM,1:19:15,0,yes
M18-34,M,2:40:01,0,yes
M35-39,M,2:50:30,0,no
F40-44,HM,1:32:30,0,no
M45-49,M,2:59:30,0,no
M35-39,M,2:52:44,0,yes
M45-49,M,2:46:30,0,no
M18-34,M,2:28:40,1,yes
M18-34,M,2:39:20,0,yes
M18-34,HM,1:16:00,1,no
M35-39,M,2:33:20,1,yes
F18-34,M,2:57:30,0,no
F18-34,M,2:56:00,1,no
M35-39,M,2:31:05,1,yes
M50-54,HM,1:27:00,0,yes
M18-34,HM,1:15:42,1,yes
M18-34,M,2:20:46,1,yes
M18-34,HM,1:16:45,0,yes
M35-39,M,2:34:30,1,no
F18-34,M,3:01:30,0,no
F40-44,HM,1:28:05,1,yes
M18-34,M,2:38:30,0,no
F18-34,M,2:41:30,1,no
M35-39,M,2:42:26,0,yes
F40-44,HM,1:31:38,0,yes
F18-34,HM,1:27:30,0,no
M70-74,HM,1:56:47,0,yes
F35-39,HM,1:28:27,0,yes
F55-59,M,3:00:01,1,yes
M50-54,M,3:06:16,0,yes
M40-44,HM,1:22:30,0,no
M18-34,HM,1:16:48,0,yes
M18-34,M,2:39:30,0,no
M18-34,M,2:44:30,0,no
M35-39,HM,1:19:30,0,no
F45-49,HM,1:33:30,1,no
M18-34,M,2:34:30,1,no
